Unnamed: 0,_id,date,bug,__,bns,lbs,ats
0,If420f961860e47635b716d046ecf1e3210b508b2,1545131030,0,0,0,0,0.0
1,I7e107824254e9378ab9a25b8f0ce936493a8a0c2,1545131087,0,0,0,0,0.0
2,I9be225654fec285ddd1a4059fffac6058547b668,1546062414,0,0,0,0,0.0
3,I3adce2091044a44611e0eadcad165fe455aa86be,1543560658,0,0,0,0,0.0
4,I99b2315de86be74533aa5bcbccb84da07be7b8d3,1546431693,0,0,0,0,0.0
5,I689d5909502670fcba009e483f61b1a4a5e9d307,1546427712,0,0,0,0,0.0
6,Ibcc2aa14e8c3053683f410cbb7bca454db1097c6,1545991470,0,0,0,0,0.0
7,I50c5f76745b990aead63570bd983a940bdc39a8a,1545991470,0,0,0,0,0.0
8,Ifd90e92992e58e3aea1ea11d4802d40f725e2c62,1546408442,0,0,0,0,0.0
9,Ief330c3e75a735853d0a5a265a9ff56fb5128b99,1546212694,0,0,0,0,0.0
10,I172dc399a6962c1ae8e5550f03556cb2ebce14f4,1545239298,0,0,0,0,0.0
11,Id1da2861e2720c1b36fa1ec2695462cbc373953f,1545417440,0,0,0,0,0.0
12,I5420edf49fc2b1aff6a4e07bf7ba22598fb96d7b,1545319264,0,0,0,0,0.0
13,Ic8aad09a60b228a80c52069b8069160227426c52,1545783594,0,0,0,0,0.0
14,I340d257dbc1a2703a5b98f971891273bb3abd9c2,1546436572,0,0,0,0,0.0
15,I6a2952337727f99b06545cb71e8c858c3b4a3925,1546436557,0,0,0,0,0.0
16,Ifb909c33469c4dd0dee0d66ae9dc392193d1d96c,1544608457,0,0,0,0,0.0
17,Iffe669d64216d003ae2162f32723aa70e59e417d,1534510036,0,0,0,0,0.0
18,I2bc6caec2f447df1b3274ceb75223f3ea4b14060,1546369142,0,0,0,0,0.0
19,Ibb1bd58f46d8722245dc878a99a9471a289308b1,1546093056,0,0,0,0,0.0
20,I9ef030faa2cccddaff170d765d20ce4155c0d238,1546091677,0,0,0,0,0.0
21,Ia3765a9b4c46dc9f6314aa36946f961ac0eb3835,1546278723,0,0,0,0,0.0
22,I2552951deb064bd1c87f554f357e9751f61ff5b2,1544018159,0,0,0,0,0.0
23,Id5cd3aa371735fdeb5357c31347aabb9c77dc3ce,1546007984,0,0,0,0,0.0
24,I2316bb87ccd4bcc6cc53a9ea5872154e1503f6cf,1546006003,0,0,0,0,0.0
25,I826d275afc8a4005037379eb313c02555977da5b,1546005309,0,0,0,0,0.0
26,I0eb11d173a08804c62855917e47787fe419cc574,1546514615,0,0,0,0,0.0
27,Ie4ad30bc1d332f851bdd0e3a89cbe270a296b651,1546507352,0,0,0,0,0.0
28,I07bd625906fa56990d20103d772392d736f63dbd,1546510564,0,0,0,0,0.0
29,I861df27aa976e1272859bf30e2f50d7be056c62c,1546508799,0,0,0,0,0.0
30,Id19d7c41d5cf158d1766ada5abd4a623c22af02d,1544066046,1,1,0,0,0.0
31,If5a67b5a76fbacf35d5fd0e4ef0641067972a3cf,1546501095,0,0,0,0,0.0
32,I82f2b693529a124f08889aa31c88fa75263004eb,1544072954,0,0,0,0,0.0
33,I0834f174c8d8d6229c2505fe8bd7104a7716aa47,1546500902,0,0,0,0,0.0
34,I43981c57b48fd23156f7424a8fe70882790d8d12,1546498901,0,0,0,0,0.0
35,I509b0e17e9cf30984c57755587fd519862ec2f75,1545472608,0,0,0,0,0.0
36,I5ca0c311eb61c5f8a5a5c3a8cf105f3ba3586b8a,1545913953,0,0,0,0,0.0
37,Ie70be990da59d46cc0e4144e014303c54642b636,1545912144,0,0,0,0,0.0
38,I99e7ce0bb58b20399d8d07fda6a54724f62e8534,1545881886,0,0,0,0,0.0
39,I72d9e7dc5f9e475b01e8df94c031c989365411df,1545837170,0,0,0,0,0.0
40,I803128496ddff0ae842970c9e6b09bf00431a1c0,1545955371,0,0,0,0,0.0
41,I96544f7497f856a1be5f9b5fea9f6176be61fee7,1544661049,0,0,0,0,0.0
42,Iba85a159faf42ae636c4daa12943e5c006559e2c,1542617077,0,0,0,0,0.0
43,I7519d5dfaa8610a47ace3b097cfb06d0c6d265b5,1545380579,0,0,0,0,0.0
44,I0e237a70d93c024d2bfd8603f52b7ddca004f8e8,1545381359,0,0,0,0,0.0
45,I9f343dbb371e124e8e1576dbe2f3693f3b2f1d71,1546339147,0,0,0,0,0.0
46,I2898eef32472216a5fb33f5a036588dd022445cb,1545329630,0,0,1,0,0.06875280501895477
47,I256108677f7962207a8eb3d3934979566423650e,1545303819,1,1,0,0,0.0
48,I91b986e8f25c98f80693801be746f86ca06ef254,1545222121,0,0,0,0,0.0
49,I9e46090033400102e5f6f8e072c6019689bfeaea,1545216789,0,0,0,0,0.0
50,I0fee68737c9e66cedef81d0a182bcbbda60da696,1545215082,0,0,0,0,0.0
51,I7fa2369dc34576290fd366159ae633118a8f7f80,1545111335,0,0,0,0,0.0
52,I45f7ad973098c56c501b12516689737604d0441d,1546586459,1,1,0,0,0.0
53,I4d1aec1b9512b3589f0e56fe741b0f9b8ce3fe4e,1546502665,1,1,0,0,0.0
54,I9991728350852f070288fe8056719ce700fa5a40,1545310331,0,0,0,0,0.0
55,Iad07561eaaf84deccaea0a1554fdf3c1c524f144,1546582818,0,0,0,0,0.0
56,I210b3f8c9ef3df272801b09752ab6d1d49e98576,1546582035,0,0,0,0,0.0
57,I5ac167c324a30218bc4b086896e0f7674bd5a84a,1546577180,0,0,0,0,0.0
58,Idccc71b4e5694331f27450fd3ccacf0f13867ec0,1513603015,0,0,0,0,0.0
59,I48e425d68710da068ddaf4d65e094bb45d6a9e3d,1546001530,1,1,0,0,0.0
60,I1d1a2ec8eccb1a00272c5e1db7b4bc4919cd9f0a,1546567127,1,1,0,0,0.0
61,Ieaef9c4f966646b33e66cb7ffb4d5b5500499a29,1546512588,0,0,0,0,0.0
62,Ia0c594d5d63e1b23e4a6ca8bd6bfbbdd6146dd4d,1545988498,1,1,0,0,0.0
63,Icf3545f600b91bc80827cec920fc10a0668ca0f1,1546500963,1,1,0,0,0.0
64,Ic6e8ac5b1982c731b0c45512bc4a7c892d736000,1546469368,0,0,0,0,0.0
65,I7c992d6f990baa60f8cdde029994ed4451b1675e,1546490639,0,0,0,0,0.0
66,I34220f4959a0bddec1c88b9eccc4b55605adfa20,1546415937,1,1,0,0,0.0
67,I508998164473c83c55a23dcc679c50650684250c,1546484028,1,1,0,0,0.0
68,I058d013f61da8d7b771c499d8743aafb8faa5ea8,1546469833,0,0,0,0,0.0
69,I59e72d0a12d70396a5cf558029c13e2a1b0d5741,1514857324,0,0,0,0,0.0
70,I80d81aa3da240e446c2a1e369ec7d3a97328aa79,1546535051,0,0,0,0,0.0
71,Ib412d6512101361027ef31ed3088b5a8c332551f,1546534877,0,0,0,0,0.0
72,I1dd0f1ede7cd7ea60d28607916d0165269a9f628,1541666409,0,0,0,0,0.0
73,I6d5d44f4be6465343ff50c410f82ce3610e0c5e4,1546534812,0,0,0,0,0.0
74,Id4a397e783d2bc191c7c5b2c1cd58f0880a0b0be,1546007984,0,0,0,0,0.0
75,Ia47c0c4c0557d0720457b4714ef2d9db4b77f9f6,1546524690,0,0,0,0,0.0
76,Ic1172a1d9bc0e11d0fc8b86e65db2a12d528fd3c,1546536876,0,0,0,0,0.0
77,I63432fb10729a90b3c5e14f13e39bf482aef811b,1545019784,0,0,0,0,0.0
78,Ifdf5ac5986aa0e1919f2cde89972537d6d1c2337,1542510988,0,0,0,0,0.0
79,Ifc457cfd1867069a4d7659dd0357fadabe208d30,1546680848,0,0,0,0,0.0
80,Icd973a76fee9d1beeedcda988cf7a9c119f9a2b4,1545283276,0,0,0,0,0.0
81,Ifc35e316b07e0a7fbe4704c199720a7d20c9b119,1546678143,1,1,0,0,0.0
82,Ibd8f4a79bf758f0de889a357e01b53ab9d68c71b,1545812164,0,0,0,0,0.0
83,I520ff1dc690c045c22cbfa473f22082a090cc096,1545375530,1,1,0,0,0.0
84,I80cf642e0fe2c53e814fc9b2af341452e9b83063,1546663936,1,1,0,0,0.0
85,Id7eeaf44fa1b169df47801ee5be8ec3dd75fc62f,1546650287,0,0,0,0,0.0
86,I6ccbec5720f152b46a3bc9c645f8ef3658be059f,1546648119,1,1,0,0,0.0
87,Ie337726c51414e4e024b3a67c41d9b2323c1e126,1546116802,0,0,0,0,0.0
88,I130c7f1420b6b3753f4d419a37d16633755da21c,1546614397,0,0,0,0,0.0
89,I1d688a2cf0b8aa86379486c3d5f7df9829665970,1546614942,0,0,0,0,0.0
90,Ib139938d609709d7c58df5d381a2e9221756a2db,1546765257,1,1,0,0,0.0
