,_id,date,bug,__,asm,cf,nif,var,ifc,nel,lc,lcv,mc,fmc,md,sqa,smc,cmc,sw,nt,ntc
0,I913d2980d004b48c8e388366abdd5981c2cc8441,1398233802,1,1,26,18,10,147,13,1,-1,-4,99,90,23,0,14,39,0,0,0
1,I29bb2f479ee1ba9af886443227fe96c6b72c82ab,1403512493,1,1,3,0,1,21,1,0,0,-1,19,19,1,1,0,0,0,0,0
2,I488764e7be88fcc8b35649177b729c41225ccbec,1421235643,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0
3,I5d6bce349fdc79d2ef517c19ec9b610b5df1ab4c,1425546553,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0
4,I790bd1b46057b9ca9f1f8c5097fb05d2450b952a,1425981113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Id38566047ca4490f04b1b46c4ab56b71b8b59fc8,1425981376,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Ibcf8cc9ddd90a5e31ca287db1b3788221981d145,1428566655,1,1,46,10,15,177,16,4,1,2,80,74,24,9,4,30,0,2,3
7,Id3bb944344a9743705fd1f20193ab679298fa51c,1433510504,0,0,-6,0,-3,-16,-3,0,0,0,-6,-3,-4,0,0,-6,0,-1,0
8,I4a9a0d5767f82141dcf6d08659d7cb77c585fae4,1438154965,0,0,77,4,9,273,16,0,6,18,272,251,25,16,18,3,0,1,0
9,I200b614a1c64b9a4cd9600a43f3d0473d5108e69,1442817247,0,0,-102,-18,-4,-624,-7,0,0,0,-400,-394,-35,-27,-36,-28,0,-4,0
10,Idb9325af1bc18e65da05c217f89551a9ce1e0678,1444867944,1,1,-2,0,-3,-6,-3,0,0,0,-2,-1,-1,0,2,-1,0,0,0
11,I8e8f2015dead0e79364cb1c3d662bedaf6ed7cde,1448280408,0,0,3,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Ie016dd08bd36da4f63692560ff111d0898e204a7,1452738774,1,1,-6,0,-10,-26,-9,0,0,0,-4,-4,1,-2,0,5,0,0,0
13,Ide92f98d7296eb3676332bed00e42048693703d8,1452818924,0,0,-4,0,-3,-51,-3,0,-2,-2,-5,-5,0,0,0,-3,0,0,0
14,I4646d04370ebaa5ad56885c0902e2a53e4a4f96b,1454571455,0,0,24,22,8,94,8,0,-1,-3,59,55,15,4,7,33,0,3,3
15,I49e30ff14257d477a3fc27fac0a481a3a0f86e16,1455865387,0,0,35,4,15,181,16,1,8,16,70,60,25,10,3,26,2,0,0
16,I5e677f6ff85fd35f0bb9e5da8436a7b7a3c4d75e,1457375355,0,0,9,0,1,41,1,0,2,1,29,29,2,3,5,6,0,0,0
17,Ic52a306bc6350cd3b462863ca35359c97731a67f,1457853384,0,0,-1,0,-2,3,-2,0,0,0,-4,-4,0,0,0,-3,0,0,0
18,I4dc6a97e586f606994e265fbcd7fe573845fbd36,1461576141,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,0,0,-1,0,0,0
19,If59135e644738245ee3443ee8d3307d0802ae46a,1462239232,0,0,-2,0,-1,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0
20,I0cfd06ceca6e1911d69bab09331399500a00dcee,1462285772,1,1,4,4,2,22,2,0,0,0,18,18,1,0,0,1,0,0,0
21,Icd2522135aabcfa05359c50b8934bbce04c8deb9,1463600638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,I6e632c4836b8b6c4be1cfd16f5cd78d3ef3d5599,1469101835,0,0,3,1,2,14,2,1,0,0,6,6,1,1,0,2,0,0,0
23,I4b37c927cfabc87e2f98be9b38b82716432b2a79,1471336843,1,1,0,0,0,28,0,0,0,0,76,76,3,0,0,60,0,0,0
24,I0e37829f5b7138094f5cbe58274ec61ed11085b2,1475140482,0,0,18,16,16,72,16,0,0,0,30,30,31,4,0,17,0,0,0
25,I0389c5ae2dfc1e5f655742e28fee71478d39b3b5,1475722442,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,I9eb881120e9961bb7e55924f50c3eb2d365364d4,1477898740,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Ib15d94fe20c6d03ca5a22cf22e6050c055ccbf80,1477983378,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Ibe8f4ca10f33a8f2895052c13c61613f621e18cf,1478611537,0,0,37,12,5,174,5,1,1,4,92,92,11,9,11,23,0,0,0
29,Ic915e7d9c3c2f00adec6616c979512aa2a56e16f,1478659400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Ia6684110779f1984717e2efc30647f548ad059f7,1479913185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Ib8b70226cc0760ace551058b4a59d33bfef9a53e,1479914308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Iabddfdb371a33ad38a2e22f37a3eb2ba4a2019de,1480255320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,I39c07e0093211170a81aba07fe082d0aafc74afa,1481269324,0,0,14,5,0,56,0,0,0,0,43,43,7,2,4,7,0,1,2
34,Id7e74ff7600bc63eb678930ef19b8c2a361fc551,1482302287,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,-3,0,0,0
35,I7aa32a696ee6ad5f3a06aed76bd8cf8f17dcce4a,1485432026,0,0,0,0,0,-2,0,0,0,0,-1,-1,0,0,0,0,0,0,0
36,Ie767d059be1ab6f1f4d5979098d0d237b3476cc8,1490065690,0,0,0,0,4,0,4,0,1,0,4,4,0,0,0,3,0,0,0
37,I7d96b189dd6624a90925d674606a56481681f528,1490071664,0,0,0,0,0,-27,0,0,0,0,33,3,4,0,0,1,0,0,0
38,I2c416ce2b0e23255c4fb03a3f9a0ee237f7a484a,1490376795,0,0,0,3,0,3,0,0,0,0,-1,-1,3,0,0,3,0,0,-1
39,I16354ae7cc4e1a7435f306e779799d9d041dbcb3,1493792706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Ifd4029e8313d9ff08aae09f6ef945097e966d9be,1494383231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,I536adae4d75eed8e5545a5e2be629a455ceeb3e5,1494466815,0,0,8,1,0,29,0,0,0,0,44,43,6,1,3,5,0,1,1
42,If34c91faa268518d989b5e6a2c0717f61f82aad6,1498724107,0,0,2,0,1,6,2,0,0,0,-2,-2,0,1,0,-3,0,0,0
43,I9a5cde805f2d0b39a2d263dbc3dcbefd3ba21930,1500895902,0,0,0,0,0,3,0,0,0,0,3,3,2,0,0,3,0,0,0
44,I5c570b98e88c2dbb91a8459fd60a34b30f5b57cb,1506145324,0,0,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0
45,Iba3e2445e7e177b16ce4cb60a635d0ba1fb0e304,1506318469,0,0,11,7,5,31,5,0,0,0,18,15,26,2,0,15,0,1,0
46,Ic0f23cf2a3dc7a1c8afb4da3126796d631c39d67,1507030047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Iaea268449a11b598f113a49fc61e9993bb6451da,1507587737,1,1,2,1,2,19,2,0,0,0,10,10,1,0,2,10,0,0,0
48,I4daac02414abc3f275ac9ff19d6a460b43a0fe84,1508922239,0,0,33,1,20,124,25,3,1,1,158,154,40,10,5,87,0,0,0
49,I3a35164e361517109de5bcb75357dfb37a0184d1,1509333002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,I04d1299169c22a062e0ae9f06c05540495066f80,1509372024,1,1,59,9,16,374,16,3,1,4,254,235,52,9,25,31,0,0,0
51,I79ba191266fc77823352f2ab806f106cd01f5855,1510141362,0,0,10,3,0,83,0,0,0,0,85,85,3,2,8,4,0,0,0
52,I2b65cfaa8f4aba2efbf8a5e865d3f09f927e2eec,1511266918,0,0,1,0,0,2,1,0,0,0,3,2,0,1,0,1,0,0,0
53,I7d03e5dbd8d0d082c6ce8dc3127f530ce5ed57cd,1512716783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Ibfca7d69e6b187b441bc01ec4188f82d69368244,1513058287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,I3fc74dbfcc49f4ce093ace9394964f327c232b64,1513316655,0,0,-2,1,3,13,3,0,-2,0,8,8,0,0,0,2,0,0,0
56,Idccc71b4e5694331f27450fd3ccacf0f13867ec0,1513603015,0,0,2,1,1,30,1,0,0,0,3,3,0,0,0,-1,0,1,1
57,I59e72d0a12d70396a5cf558029c13e2a1b0d5741,1514857324,0,0,-9,0,-2,-13,-2,0,0,0,20,20,0,-4,-1,1,0,1,0
58,Ic0983af663f0c4c85bf5486b195108c45cddc4c2,1516091316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
