Unnamed: 0,_id,date,bug,__,asm,cf,nif,var,ifc,nel,lc,lcv,mc,fmc,md,sqa,smc,cmc,sw,nt,ntc,ns,nd,nf,entrophy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
0,I913d2980d004b48c8e388366abdd5981c2cc8441,1398233802,1,1,162,148,70,749,87,7,9,6,419,354,105,26,26,157,0,2,2,1,5,10,2.5471887592449347,448,23,1628,1,22,0.0,178,1642,1384.1397063197214,0
1,I29bb2f479ee1ba9af886443227fe96c6b72c82ab,1403512493,1,1,685,14,497,3117,601,78,62,123,1413,1239,305,137,84,908,0,14,0,2,2,2,0.9182958340544896,33,15,3522,0,21,0.0,113,1272,1222.085140290951,0
2,I488764e7be88fcc8b35649177b729c41225ccbec,1421235643,0,0,10,2,8,62,8,0,0,0,49,45,31,0,3,43,0,8,10,1,1,1,0.0,7,0,153,0,2,0.0,9,544,465.8460947996321,0
3,I5d6bce349fdc79d2ef517c19ec9b610b5df1ab4c,1425546553,0,0,328,30,300,2013,348,38,8,14,959,957,104,50,75,489,0,0,0,1,1,1,0.0,1,0,1241,1,24,0.0,71,881,828.1035564356433,0
4,I790bd1b46057b9ca9f1f8c5097fb05d2450b952a,1425981113,0,0,22,4,6,86,8,0,0,0,38,38,38,4,0,28,0,0,0,1,1,1,0.0,1,1,126,1,1,675.8042361111111,2,18,1.0,0
5,Id38566047ca4490f04b1b46c4ab56b71b8b59fc8,1425981376,0,0,22,14,19,173,21,0,0,0,160,86,100,2,8,148,0,0,0,1,1,1,0.0,4,2,343,1,2,417.0758449074074,7,19,1.9969652562223783,0
6,Ibcf8cc9ddd90a5e31ca287db1b3788221981d145,1428566655,1,1,230,50,79,965,90,6,9,12,508,484,124,37,24,204,2,16,19,2,12,15,3.062024813119406,694,47,1961,1,12,0.0,68,187,163.2132060855787,0
7,Id3bb944344a9743705fd1f20193ab679298fa51c,1433510504,0,0,986,112,659,4382,805,54,112,168,2278,2047,554,184,54,1042,14,107,52,2,5,7,2.463260648245897,33,67,5612,0,38,0.0,237,268,181.81293721633816,0
8,I4a9a0d5767f82141dcf6d08659d7cb77c585fae4,1438154965,0,0,761,1842,323,4229,438,12,116,230,900,849,393,136,64,371,4,13,8,2,4,20,2.177429761099852,491,32,5814,0,60,106.41605439814815,583,248,115.61018061728242,0
9,I200b614a1c64b9a4cd9600a43f3d0473d5108e69,1442817247,0,0,2080,100,40,7408,43,2,8,20,4042,3886,371,293,328,364,0,34,6,1,6,13,2.0357056718960203,36,1215,4739,0,8,0.0,60,319,75.77542699744427,0
10,Idb9325af1bc18e65da05c217f89551a9ce1e0678,1444867944,1,1,162,50,125,846,149,12,8,18,462,407,159,18,28,233,0,2,2,1,1,2,0.8865408928220899,4,19,1357,1,10,0.0,24,1256,1203.0461521438424,0
11,I8e8f2015dead0e79364cb1c3d662bedaf6ed7cde,1448280408,0,0,87,14,43,319,61,6,0,0,294,294,46,20,8,78,4,2,4,1,1,1,0.0,54,45,317,1,7,0.0,11,454,306.36270352052827,0
12,Ie016dd08bd36da4f63692560ff111d0898e204a7,1452738774,1,1,376,38,162,1434,193,6,4,12,718,692,87,76,54,271,0,8,26,1,1,1,0.0,62,70,944,1,0,0.0,2,13853,9297.90884275587,0
13,Ide92f98d7296eb3676332bed00e42048693703d8,1452818924,0,0,360,38,321,1463,377,30,18,20,885,865,138,64,56,483,0,20,24,1,1,1,0.0,1,15,1512,1,30,0.0,161,13653,9309.004675273829,0
14,I4646d04370ebaa5ad56885c0902e2a53e4a4f96b,1454571455,0,0,66,64,34,304,38,0,3,9,245,219,67,10,15,105,0,9,7,3,14,39,3.584010368644233,1205,101,2165,0,16,30.42431007226739,279,930,716.5749644533474,0
15,I49e30ff14257d477a3fc27fac0a481a3a0f86e16,1455865387,0,0,1441,240,757,6255,1042,113,84,182,2400,2094,511,254,183,984,4,2,0,1,4,6,2.00982409787477,432,43,5001,0,14,0.0,183,998,739.8640922608736,0
16,I5e677f6ff85fd35f0bb9e5da8436a7b7a3c4d75e,1457375355,0,0,9,0,1,41,1,0,2,1,29,29,2,3,5,6,0,0,0,1,1,1,0.0,88,0,0,1,0,0.0,1,319,53.46189911635697,0
17,Ic52a306bc6350cd3b462863ca35359c97731a67f,1457853384,0,0,35,4,14,103,18,0,0,0,70,64,8,10,2,15,0,0,0,1,1,1,0.0,9,14,119,1,9,0.0,19,2606,1498.149192993974,0
18,I4dc6a97e586f606994e265fbcd7fe573845fbd36,1461576141,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,1,1,0.0,15,32,60,1,6,0.0,9,389,117.07280581110462,0
19,If59135e644738245ee3443ee8d3307d0802ae46a,1462239232,0,0,86,32,45,377,55,2,10,56,110,104,30,14,6,44,0,4,2,1,1,1,0.0,2,7,298,1,3,0.0,11,15,2.0,0
20,I0cfd06ceca6e1911d69bab09331399500a00dcee,1462285772,1,1,88,144,22,572,22,0,2,4,388,378,61,10,20,105,0,8,8,3,12,20,4.051581295418002,306,47,1224,1,24,0.0,559,169,118.24686622630821,0
21,Icd2522135aabcfa05359c50b8934bbce04c8deb9,1463600638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.9709505944546686,4,1,746,1,2,0.0,6,396,113.52531306075035,0
22,I6e632c4836b8b6c4be1cfd16f5cd78d3ef3d5599,1469101835,0,0,173,381,116,1188,128,9,36,26,474,474,61,31,16,196,0,24,24,1,2,3,0.3067556640587811,35,10,1386,1,18,0.0,69,17,3.0,0
23,I4b37c927cfabc87e2f98be9b38b82716432b2a79,1471336843,1,1,6514,268,2314,23944,2746,326,812,2118,5372,5286,797,1208,232,2256,192,82,74,1,4,3,1.6883870297889991,106,94,15303,1,31,0.0,357,158,123.9023628519502,0
24,I0e37829f5b7138094f5cbe58274ec61ed11085b2,1475140482,0,0,290,84,138,1026,154,8,0,0,586,520,197,58,34,243,0,22,18,1,6,11,2.9749744137571894,459,6,1726,0,11,0.0,110,975,601.6315121271372,0
25,I0389c5ae2dfc1e5f655742e28fee71478d39b3b5,1475722442,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,10,1,203,1,8,0.0,16,13870,8680.050340713082,0
26,I9eb881120e9961bb7e55924f50c3eb2d365364d4,1477898740,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,18,1,117,1,6,124.78686342592592,238,13773,8645.740188839442,0
27,Ib15d94fe20c6d03ca5a22cf22e6050c055ccbf80,1477983378,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,17,0,71,1,6,0.0,237,13773,8645.477180135851,0
28,Ibe8f4ca10f33a8f2895052c13c61613f621e18cf,1478611537,0,0,37,12,5,174,5,1,1,4,92,92,11,9,11,23,0,0,0,1,2,2,0.034703114844079015,275,0,44,0,0,0.0,3,998,629.3782533717822,0
29,Ic915e7d9c3c2f00adec6616c979512aa2a56e16f,1478659400,0,0,14,12,10,74,10,4,0,0,74,70,42,2,6,56,0,0,0,1,1,1,0.0,2,0,233,1,4,0.0,8,16,1.0,0
30,Ia6684110779f1984717e2efc30647f548ad059f7,1479913185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,2,2,57,1,7,2000.9851967592595,11,268,175.24754270883517,0
31,Ib8b70226cc0760ace551058b4a59d33bfef9a53e,1479914308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1.0,2,0,121,1,0,0.0,2,5808,4598.9098640110415,0
32,Iabddfdb371a33ad38a2e22f37a3eb2ba4a2019de,1480255320,0,0,8,8,6,76,8,2,0,0,56,50,18,2,2,32,0,2,2,1,1,1,0.0,1,2,100,1,3,1027.9380787037037,5,14,1.0,0
33,I39c07e0093211170a81aba07fe082d0aafc74afa,1481269324,0,0,18,9,0,76,0,0,2,0,63,53,13,4,4,15,0,1,2,1,4,6,1.1707688139078134,176,5,105,1,6,29.452787422839503,20,77,55.06275246954146,0
34,Id7e74ff7600bc63eb678930ef19b8c2a361fc551,1482302287,0,0,544,154,400,2507,478,48,6,14,1706,1607,187,118,78,703,2,20,18,1,2,2,0.9852281360342516,5,2,2312,1,6,0.0,19,13814,8606.701261771379,0
35,I7aa32a696ee6ad5f3a06aed76bd8cf8f17dcce4a,1485432026,0,0,382,38,172,1462,202,6,4,12,723,697,86,78,54,266,0,8,26,1,1,1,0.0,1,1,944,0,0,0.0,1,13874,8499.115791583481,0
36,Ie767d059be1ab6f1f4d5979098d0d237b3476cc8,1490065690,0,0,82,6,58,298,66,0,51,14,220,220,24,20,12,107,0,0,0,1,1,1,0.0,22,6,422,0,2,278.5265162037037,3,127,47.233146655919704,0
37,I7d96b189dd6624a90925d674606a56481681f528,1490071664,0,0,566,106,358,2279,420,58,68,36,2087,1701,292,104,146,915,0,14,16,1,1,2,0.3809465857053901,70,38,2808,0,16,0.0,157,139,104.01522500593832,0
38,I2c416ce2b0e23255c4fb03a3f9a0ee237f7a484a,1490376795,0,0,406,63,132,1545,150,8,56,68,533,459,147,88,34,227,10,28,37,1,3,6,2.2488222958246835,250,19,1533,0,15,75.12509837962962,69,2671,1343.6980697511335,0
39,I16354ae7cc4e1a7435f306e779799d9d041dbcb3,1493792706,0,0,104,56,42,374,46,0,4,16,232,230,164,20,0,116,0,10,10,3,13,18,4.326446197215187,54,195,2268,0,19,426.63596236282575,250,797,488.7550586184951,0
40,Ifd4029e8313d9ff08aae09f6ef945097e966d9be,1494383231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.0,1,1,597,0,8,0.1707253086419753,20,628,437.28014777146615,0
41,I536adae4d75eed8e5545a5e2be629a455ceeb3e5,1494466815,0,0,236,37,146,1007,160,8,6,18,500,483,104,45,11,205,0,31,31,2,6,6,1.5350549990090263,154,27,6658,1,49,0.0,375,1587,1495.871026317765,0
42,If34c91faa268518d989b5e6a2c0717f61f82aad6,1498724107,0,0,104,6,57,410,88,6,10,32,288,288,38,25,8,141,0,0,0,1,1,1,0.0,10,4,490,0,8,0.0,13,140,103.03419942755366,0
43,I9a5cde805f2d0b39a2d263dbc3dcbefd3ba21930,1500895902,0,0,434,60,274,1651,316,20,10,38,965,805,318,90,48,491,16,8,4,1,4,5,1.9519839065438835,27,7,2404,1,15,0.0,132,50,21.220922029732154,0
44,I5c570b98e88c2dbb91a8459fd60a34b30f5b57cb,1506145324,0,0,4242,266,2020,16600,2612,376,240,574,5901,4438,862,963,505,2554,30,2,2,1,2,2,0.7219280948873623,5,0,11442,0,23,0.0,144,131,62.29685051065797,0
45,Iba3e2445e7e177b16ce4cb60a635d0ba1fb0e304,1506318469,0,0,11,7,5,31,5,0,0,0,18,15,26,2,0,15,0,1,0,1,2,3,0.7721163874594617,283,0,28,1,2,0.0,6,415,216.95218655708072,0
46,Ic0f23cf2a3dc7a1c8afb4da3126796d631c39d67,1507030047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,33,3.74521614852328,2277,10,1100,0,14,0.0,738,1301,956.4945345157744,0
47,Iaea268449a11b598f113a49fc61e9993bb6451da,1507587737,1,1,270,11,326,1449,360,30,48,42,646,646,79,40,22,374,4,6,4,1,1,1,0.0,50,3,988,1,11,0.0,72,540,121.82543274683194,0
48,I4daac02414abc3f275ac9ff19d6a460b43a0fe84,1508922239,0,0,127,11,72,434,95,9,3,11,422,414,88,20,13,195,6,0,0,1,11,8,3.3980595086916847,764,6,623,1,9,67.59174064009662,40,795,412.5481632602017,0
49,I3a35164e361517109de5bcb75357dfb37a0184d1,1509333002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,32,71,1,7,0.0,17,13664,7871.212899379503,0
50,I04d1299169c22a062e0ae9f06c05540495066f80,1509372024,1,1,229,31,128,960,138,21,3,6,688,659,126,45,33,243,6,0,0,2,3,4,0.8526539148290184,656,12,944,1,25,153.75150173611112,72,2592,808.654653281527,0
51,I79ba191266fc77823352f2ab806f106cd01f5855,1510141362,0,0,54,19,0,393,0,0,0,0,481,481,21,16,34,24,0,2,0,1,1,1,0.0,90,2,236,0,2,0.0,10,371,330.2720291522028,0
52,I2b65cfaa8f4aba2efbf8a5e865d3f09f927e2eec,1511266918,0,0,345,50,212,1748,265,10,58,82,775,724,126,75,30,305,0,26,18,1,1,1,0.0,9,2,1206,0,17,452.6260069444445,47,397,16.339522248412248,0
53,I7d03e5dbd8d0d082c6ce8dc3127f530ce5ed57cd,1512716783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0.0,0,194,51.27242050961877,0
54,Ibfca7d69e6b187b441bc01ec4188f82d69368244,1513058287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0.0,0,1103,939.28951139161,0
55,I3fc74dbfcc49f4ce093ace9394964f327c232b64,1513316655,0,0,210,13,159,859,201,12,48,32,480,456,68,48,12,218,0,8,8,1,2,2,0.9983636725938132,33,9,752,1,3,0.0,8,15,2.0,0
56,Idccc71b4e5694331f27450fd3ccacf0f13867ec0,1513603015,0,0,104,25,35,440,41,4,10,36,179,175,24,28,10,75,0,3,3,2,4,4,1.627763741529718,19,4,478,1,10,0.0,48,1094,237.64378157599648,0
57,I59e72d0a12d70396a5cf558029c13e2a1b0d5741,1514857324,0,0,859,92,192,3031,218,10,20,28,3418,3188,380,180,281,601,2,75,50,5,9,10,3.2525432041063325,44,67,3673,0,26,0.0,210,3296,1165.776902262445,0
58,Ic0983af663f0c4c85bf5486b195108c45cddc4c2,1516091316,0,0,80,32,30,274,38,0,10,0,114,110,18,14,2,16,2,0,0,1,1,1,0.0,2,1,262,0,9,26.47114583333333,16,313,282.09790599633857,0
59,I22bc225e81d834df53fd2140f4075afb2285fca6,1516177577,0,0,0,0,2,0,4,2,0,0,2,2,4,0,0,1,0,0,0,1,1,1,0.0,3,1,41,1,2,0.0,7,1648,919.2501450293753,0
60,Iaee62c287ab3f94ae29e81467d646c4cb861e1f6,1517148492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7,0.0,0
61,I4a3836987e47a59ebab28e8e23a2f896d8d55035,1518010449,0,0,388,115,197,1554,227,19,10,40,971,890,189,89,46,314,0,24,22,2,9,11,2.116739251949181,262,4,10772,1,40,0.0,987,1028,677.767452820485,0
62,I776b78eb623b6ea0aca42f681788f2e4b1667f15,1518419818,0,0,637,95,305,3714,417,54,72,80,3937,3856,275,124,294,650,6,118,53,5,7,7,2.1865232898558644,126,20,4609,0,37,18.578862433862433,278,403,11.541132819419706,0
63,I7b014543c7ece26270e366db39d7647f82d64f0d,1518583367,0,0,112,17,59,517,73,2,12,2,308,308,54,21,29,101,0,16,16,2,3,3,0.4925342097713562,237,1,534,0,13,66.46191743827161,22,1257,449.09077569056535,0
64,Ia7bf97b4fca176f7af944a0b9435853732a43fb0,1519273986,0,0,1323,30,602,4904,735,78,124,612,2861,2499,899,266,294,1384,14,26,12,2,2,2,0.5665095065529053,45,0,13951,1,30,0.0,378,1321,388.4077251251423,0
65,I46721477af789952ed2642320f23bccaa6e499c3,1519736327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,26,122,125,0,4,720.8325462962962,17,294,133.16800518389334,0
66,Iff3fab19c19cc06d1b8fb3f5566206f20a230a6d,1519736640,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,12,2.6383819304333254,332,309,3190,0,7,0.0,112,277,131.1255211256058,0
67,I22eb86b34659ff54223a81dec4f8341b63b5675b,1520827998,0,0,2,46,0,56,0,0,0,0,4,4,0,0,2,4,0,0,0,1,1,1,0.0,5,4,63,0,4,0.0,21,1561,1414.8400380588134,0
68,I1682d4a2c52d674f90a1b021e0f6c3524c5ce5bc,1520995494,0,0,973,148,324,5581,395,26,43,27,5137,5077,367,245,295,641,6,90,42,2,2,2,0.6500224216483541,100,2,4413,0,26,0.0,200,14,2.0,0
69,Ifb90e31c50cbdaf668eea8db770e82901cc61169,1521094182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0.4549021329933893,8,1549,3314,0,2,351.9070833333333,42,293,220.46165504608985,0
70,I2310bb77c94b662cb987b1cbdcbd9280d356c1bd,1521094247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1.049886625190374,0,32,156,0,2,0.0,10,310,239.4504221938696,0
71,Id72d7b8917b7ff5c718b06f02a5d07a042e84b9b,1521492112,1,1,70,22,52,327,59,0,6,18,143,119,54,12,8,97,0,0,0,1,3,3,1.584962500721156,3,3,377,1,9,0.0,37,701,202.13591912824214,0
72,Ifd7994d7f1f9f568e7d6d9ff089ffcccb4aa5f93,1522023657,1,1,7082,391,2689,33866,3478,494,444,1290,16377,14783,1369,1539,1174,3104,26,116,110,2,2,3,1.1779653169582591,62,22,18589,1,35,0.0,269,1724,825.6961929503453,0
73,I758f4cd9e5d4752a798c915aeb39b1989cb33a4a,1522135610,0,0,591,43,418,2654,524,16,16,36,1261,1237,152,99,50,491,2,2,0,1,2,3,0.0,3,37,1856,1,31,0.0,155,13870,7578.4263794744775,0
74,Iecd5de2a90f0a62930f533414e278a4359cffd54,1522194212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0.0,114,0,0,1,0,0.0,5,311,135.12650046040577,0
75,I87120af275e8d757cac5cd1c27b11d95fe8f729e,1523996732,0,0,218,85,87,925,109,4,8,4,626,578,157,40,16,182,0,6,6,1,9,10,2.265582836399183,678,54,1205,0,18,19.49777314814815,106,1041,294.7799556272755,0
76,Icd77d6a86e3410d1854342a1b3efa6c44a27c7f5,1524126900,0,0,602,120,376,2694,441,32,58,206,1434,1350,348,90,93,676,2,26,26,1,2,2,0.9819407868640976,28,10,2327,1,9,0.0,137,20,3.0012419594088637,0
77,If3e0af495fdf53d09e8fc7527269bb7d428691c5,1524454953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2.4056390622295662,8,8,461,0,5,105.1745949074074,57,40,14.464431445943296,0
78,I6e734799712c059c8e53aa882777dfebd85aa0d5,1524462078,0,0,593,128,192,2304,211,30,17,37,1826,1632,886,118,156,766,5,20,14,1,15,33,3.728371123282821,2325,23,4335,1,28,0.0,216,53,38.0,0
79,Iebfc1341fd6c31ac011521c311ec2cd4a701c75a,1525420961,1,1,27,129,3,767,3,0,0,0,619,613,30,2,26,22,0,2,2,1,4,4,0.2007216612988605,250,1,2586,1,15,166.6779542824074,122,281,20.490480211022664,0
80,I6f35ae33b55ffbf938368cf673c9d231aa4ca7ed,1525764136,0,0,66,0,2,82,2,2,0,0,603,591,577,26,10,593,0,0,0,1,1,1,0.0,51,0,9959,1,11,0.0,239,1321,347.9276776708382,0
81,I9cedb648ad0a8b640954fb26925255bbce2a5336,1526205993,0,0,14,166,5,211,5,0,0,0,84,84,31,1,4,34,0,3,3,4,5,9,2.3101233253492106,55,134,764,0,11,0.0,88,504,418.2917075840242,0
82,I2ccd8ad226a991dcd6cea8c992d75f5cf66e2295,1526389920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,2.5219280948873624,17,3,2656,1,34,102.1806746031746,212,22,7.0,0
83,Ib145445c60c686bbbc187f252b32591535ac740d,1526491522,1,1,246,52,88,936,112,4,13,11,612,590,115,42,35,184,0,31,24,10,23,29,4.99739338324042,2292,52,1156,1,16,21.898588686342592,364,1395,63.817811147894204,0
84,I2782f3c3edd064834ff9a766d3e6b4620afe3b17,1526976131,0,0,38,6,18,122,20,2,2,4,62,60,10,14,4,30,0,6,8,1,1,1,0.0,1,1,112,1,2,828.1070138888889,4,184,5.770408850821601,0
85,Ie91dd9e45e09bb6f750cb2ad95e69fbe0e5400a9,1527646576,0,0,39,12,25,168,34,1,2,7,217,167,66,7,9,70,0,0,0,2,9,26,3.5687475841744805,2065,1,494,1,0,0.0,33,657,549.5282327331994,0
86,I5d9c90eb1bff21899a227e8598f128dd2ac34cc9,1528353194,0,0,119,6,38,330,57,5,6,6,160,132,56,25,12,78,0,6,6,1,2,2,0.5612294270509872,98,39,507,1,3,0.0,8,240,109.64971469543842,0
87,I9cdb21632ee562e0bbddd1f9c2f643cfe2136680,1528372728,0,0,20,11,2,96,2,0,0,0,86,86,12,4,6,24,0,6,6,1,1,1,0.0,5,4,147,0,2,0.0,3,634,48.38498466129699,0
88,I0f8c4ca4731f0a9de116bca77e37a1aeb66fd5b5,1528521853,0,0,6,0,1,20,1,0,0,0,24,20,10,0,4,7,0,0,0,1,1,1,0.0,5,0,75,0,3,177.4172106481481,7,643,74.59892288292336,0
89,I9179d5545572a6c4e5b95ea3cf6e2901c2633930,1529536862,0,0,357,59,237,1598,271,10,14,52,886,856,154,66,42,392,6,44,22,1,1,2,0.5665095065529053,10,5,1463,1,13,0.0,91,1724,758.9799284945003,0
90,I25fdc6663c864401fe6cc7bbf5253721701dad4e,1529978684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,3,58,0,6,1.5945486111111111,268,5792,2514.6627847990285,0
91,Ie3ec92f48457377241ed6aa6080aab260e777b6a,1530082872,0,0,103,36,39,421,50,3,2,6,223,186,87,19,17,104,4,0,0,1,3,4,0.4492149784030094,257,385,1096,1,21,0.0,72,8296,31.478270043939013,0
92,I10cdda52fe2faa989bf7ea03198336a6394700e5,1530788836,0,0,757,210,425,3500,503,34,48,138,1919,1766,409,143,149,889,2,36,42,1,8,15,3.5690081805243667,67,5,4129,1,43,493.7928479938272,296,2603,420.76999412936135,0
93,I7605fd5298bcababbc7cb212e3eed077bc10ba0d,1531287669,0,0,157,36,63,573,66,0,14,30,353,322,95,22,19,139,0,1,0,2,2,2,0.5858732928619205,64,0,753,1,12,0.0,45,2542,178.39587467490398,0
94,I2528fdcfcf9f515b2b2f2604eb0d92ed1ff0b328,1531663706,0,0,1586,175,829,7497,921,106,301,770,3393,3231,762,311,236,1701,48,46,48,2,2,4,1.2809325802646423,179,31,6903,1,24,0.0,288,1320,339.43970288976897,0
95,Ib2ca8ed8b751c41d92a6b5f4b8d982d67b4d9fc1,1531724748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1.4398683625590178,14,15,649,0,2,8.894317129629629,27,286,118.35244675649851,0
96,I1de7b760041ac4ce4601f1b5032fdb0a197212a1,1532066998,1,1,13409,2403,6996,50019,8497,525,1323,806,26625,23950,4065,2365,1671,10294,241,505,497,1,20,57,4.40065565707832,3053,165,48316,1,47,29.04377075351213,2188,128,59.050567495154276,0
97,I830d09f4b60c8f5c94b4edcaf6f53c3a77baae0d,1532087572,0,0,1139,309,495,5292,529,39,59,38,3338,3183,511,155,168,524,13,57,30,1,24,36,4.11563471377784,1614,551,6000,0,8,709.1887435699588,199,139,125.0,0
98,I9dc20c64f5b8581f0d63483e607ca15cb9294774,1532155240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,136,4.122859797792428,0
99,I781b308cdbd1f5bdabad81508bd8a0276718d0f8,1532155323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,136,4.122859531300967,0
100,Ia72ad44412143f46a2a0157bc85eb8490e5df4f7,1532155347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,136,4.12285945424367,0
101,I6e1dcc41f38ba81a5fa2038472648184e474b338,1532155383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,136,4.122859338658124,0
102,Ia3213bade19ba8d3055ddcbdff850f4c54b37db4,1532155556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,136,4.122858783212018,0
103,I2433dca160939c95a7f250e2f7736a0227698f33,1532155593,0,0,1008,236,278,3558,304,38,64,40,1952,1860,538,228,142,730,4,72,72,14,37,41,6.225116858391537,427,338,6388,0,11,1737.6128278867104,365,221,89.12285866441862,0
