,_id,date,bug,__,ns,nd,nf,entrophy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
0,Ic5aced903e0d1e7baa4ae7df2167c4d54cd6a66b,1423989165,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,105,61.466879407182155,0
1,I8ab9e38727104ca094dfdb3020e8d42e611911e0,1446594767,1,1,1,1,5,0.5172805850038475,132,5,569,1,1,270.5967685185185,21,1135,505.84035122731785,0
2,I87029079458d4c4eeeff2f2fc0574f10afa9af09,1464790313,0,0,1,1,1,0.0,1,1,28,0,2,1527.4185185185186,5,950,40.39646513417964,0
3,I85d28a2d7692862ccb02d6a09f5d18538b6049a2,1478703569,0,0,3,12,21,4.005152233310934,40,40,20093,1,109,346.5992702821869,629,334,249.3256705514089,0
4,Id24c43f8eb6090520ab37bf8126264901b70c489,1480430252,0,0,1,1,2,0.9709505944546686,10,0,1311,0,10,0.0,34,27,4.050664374973229,0
5,I48d130c0616f0f2a418453ae0e68c2391224baa6,1486923631,0,0,1,2,2,0.5032583347756457,14,13,773,0,1,0.0,26,203,163.85583650589075,0
6,If2ce1479542702e9cd65a82a462ba55ac8eb3876,1488973507,0,0,1,1,1,0.0,108,1,809,1,35,0.0,84,182,159.42351399416975,0
7,I1cfdd0d426f4d149afc86fa97aafa4606fc2e89f,1490611487,1,1,1,2,3,0.7252897139133397,45,10,823,0,2,0.823630401234568,51,3652,795.2591207716303,0
8,I46b7c1f8b6e4edbee78930fb093b60bd1a03d75e,1498475829,0,0,0,0,0,0.0,0,0,0,1,0,0.0,0,1255,578.9830155088745,0
9,I1217f07530dc7586fd7b933bc6a65bad163782db,1498728827,0,0,1,1,1,0.0,4,0,374,0,13,0.0,33,655,224.63105205270736,0
10,I4a5c7573e13dd85531ee9f4dd2a0d1981bf8cdfa,1501097281,0,0,1,1,1,0.0,10,0,115,0,0,0.0,1,13,1.0,0
11,I37fe61d0435b6c615cd767eef38380db4b4af7b1,1501811165,0,0,2,2,38,5.2026024098628385,25,284,2195,0,1,57.05003685428851,155,839,803.9123455253585,0
12,I2f8215cd671641cddfa8499f8a8c0130db93dbc6,1504487046,0,0,1,1,2,0.9101540365074873,117,9,8648,1,69,0.0,418,20,2.0,0
13,I5b005258f937ab184ffcb5e76053abd798d542bd,1506342464,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1255,544.3765350598835,0
14,I5320574a23c0eec641e346282aab08a3bbb057da,1506342464,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1255,544.3765350598835,0
15,I17a893c2ed1f661b8146d7783d529f71735c9105,1506342464,0,0,1,1,1,0.0,3,14,2249,0,21,0.0,202,1255,544.3765350598835,0
16,I735e83bcda7ddc6a14afb22e50200bcbb9192fc4,1507702016,0,0,1,1,1,0.0,2,2,3947,1,37,0.0,246,704,654.6818041757767,0
17,Iefd965095ffc82cc91118872753a5d39d785c3a6,1508171796,1,1,1,2,35,4.865801272169124,237,103,13391,1,61,60.48026818783069,1010,1216,506.62261523499615,0
18,Ifb46729cee631a3305f557863818e3487b8eed71,1508348866,0,0,1,1,1,0.0,16,12,840,0,29,0.0,68,21,4.014919405317907,0
19,Idb11ee2d07faa576f9abbbcd334790bda5511fcb,1508513485,0,0,1,1,1,0.0,2,2,17,0,2,729.4699421296297,3,9,1.0,0
20,Iac99ed839c7b95d6dc66602ba8fe1fc5b500c47c,1510049389,0,0,1,1,1,0.0,27,2,2501,1,50,0.0,189,11,1.0,0
