Unnamed: 0,_id,date,bug,__,ns,nd,nf,entrophy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
0,Ic5aced903e0d1e7baa4ae7df2167c4d54cd6a66b,1423989165,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,105,61.46687940718216,0
1,I8ab9e38727104ca094dfdb3020e8d42e611911e0,1446594767,1,1,1,1,5,0.5172805850038475,132,5,569,1,1,270.5967685185185,21,1135,505.8403512273178,0
2,I87029079458d4c4eeeff2f2fc0574f10afa9af09,1464790313,0,0,1,1,1,0.0,1,1,28,0,2,1527.4185185185183,5,950,40.39646513417964,0
3,I85d28a2d7692862ccb02d6a09f5d18538b6049a2,1478703569,0,0,3,12,21,4.005152233310934,40,40,20093,1,109,346.59927028218686,629,334,249.32567055140893,0
4,Id24c43f8eb6090520ab37bf8126264901b70c489,1480430252,0,0,1,1,2,0.9709505944546686,10,0,1311,0,10,0.0,34,27,4.050664374973229,0
5,I48d130c0616f0f2a418453ae0e68c2391224baa6,1486923631,0,0,1,2,2,0.5032583347756457,14,13,773,0,1,0.0,26,203,163.85583650589075,0
6,If2ce1479542702e9cd65a82a462ba55ac8eb3876,1488973507,0,0,1,1,1,0.0,108,1,809,1,35,0.0,84,182,159.42351399416975,0
7,I1cfdd0d426f4d149afc86fa97aafa4606fc2e89f,1490611487,1,1,1,2,3,0.7252897139133397,45,10,823,0,2,0.8236304012345681,51,3652,795.2591207716303,0
8,I46b7c1f8b6e4edbee78930fb093b60bd1a03d75e,1498475829,0,0,0,0,0,0.0,0,0,0,1,0,0.0,0,1255,578.9830155088745,0
9,I1217f07530dc7586fd7b933bc6a65bad163782db,1498728827,0,0,1,1,1,0.0,4,0,374,0,13,0.0,33,655,224.63105205270736,0
10,I4a5c7573e13dd85531ee9f4dd2a0d1981bf8cdfa,1501097281,0,0,1,1,1,0.0,10,0,115,0,0,0.0,1,13,1.0,0
11,I37fe61d0435b6c615cd767eef38380db4b4af7b1,1501811165,0,0,2,2,38,5.202602409862839,25,284,2195,0,1,57.050036854288514,155,839,803.9123455253584,0
12,I2f8215cd671641cddfa8499f8a8c0130db93dbc6,1504487046,0,0,1,1,2,0.9101540365074872,117,9,8648,1,69,0.0,418,20,2.0,0
13,I5b005258f937ab184ffcb5e76053abd798d542bd,1506342464,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1255,544.3765350598835,0
14,I5320574a23c0eec641e346282aab08a3bbb057da,1506342464,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1255,544.3765350598835,0
15,I17a893c2ed1f661b8146d7783d529f71735c9105,1506342464,0,0,1,1,1,0.0,3,14,2249,0,21,0.0,202,1255,544.3765350598835,0
16,I735e83bcda7ddc6a14afb22e50200bcbb9192fc4,1507702016,0,0,1,1,1,0.0,2,2,3947,1,37,0.0,246,704,654.6818041757767,0
17,Iefd965095ffc82cc91118872753a5d39d785c3a6,1508171796,1,1,1,2,35,4.865801272169124,237,103,13391,1,61,60.48026818783069,1010,1216,506.6226152349962,0
18,Ifb46729cee631a3305f557863818e3487b8eed71,1508348866,0,0,1,1,1,0.0,16,12,840,0,29,0.0,68,21,4.014919405317907,0
19,Idb11ee2d07faa576f9abbbcd334790bda5511fcb,1508513485,0,0,1,1,1,0.0,2,2,17,0,2,729.4699421296298,3,9,1.0,0
20,Iac99ed839c7b95d6dc66602ba8fe1fc5b500c47c,1510049389,0,0,1,1,1,0.0,27,2,2501,1,50,0.0,189,11,1.0,0
21,I262fd2963ee76fff7ffae8e3cb0e86255694b361,1510573662,0,0,1,1,1,0.0,3,2,119,0,2,621.4818865740741,6,15,1.0,0
22,If57a2ec49fec91a330fc04795726e8cffa9b75c0,1511662509,0,0,1,1,1,0.0,45,0,197,1,9,0.0,17,16,1.011042448449773,0
23,I8cbecb724f239ae14ad45d75e67d12c80e41c994,1513190923,1,1,1,4,4,1.9748804447343835,61,7,6862,1,65,0.4965596064814815,397,4543,824.2152291712372,0
24,Ie64c17e1833ed94ac8bff7381963f683d824ca5d,1514041558,1,1,4,4,29,2.982956891624096,251,433,2287,0,5,113.50664079520695,97,261,169.3132252094721,0
25,I5e7e3d81d16e8817cdd69d85796ce33930ef523b,1514887030,0,0,2,2,3,1.5454109404191372,33,24,10226,0,59,0.0,391,820,6.1229359293637735,0
26,If63789fdbe901ca6894a2d00860bedab3160d757,1516601885,0,0,2,3,9,2.647957923223056,445,8,724,0,5,87.58900462962963,42,20,9.0,0
27,I9c483efa491e2d9f705850d81ea94feda9f9d5a4,1518603284,0,0,1,1,2,0.5665095065529053,12,3,41,1,1,25.320497685185185,6,224,112.81411383100836,0
28,I6eecf82a887f59f2ec8897f1bcd67ca311ca42ff,1521146710,1,1,1,1,2,0.6500224216483541,17,1,309,1,3,0.0,5,41,25.0,0
29,I03c541553b6cb488c2c59d39575342a43136e592,1523268790,1,1,1,1,2,0.9804679314541814,67,0,486,1,3,652.6842303240741,9,18,2.0,0
30,I487487faa2ae4ff29de6fd8eb1317740c2939c10,1524020608,1,1,1,1,3,0.4982103182939443,342,1,17,1,1,0.0,4,42,16.12551867664353,0
31,I181332a8ef434a4f0d89659f492d8711db3f3213,1524830760,1,1,2,3,5,2.030076184150151,314,82,2116,1,7,7.787004629629629,28,185,107.33775481733294,0
32,I62cd57e6b86dbf4a3f2b5b5076e7345803d801f3,1525162800,1,1,2,2,15,3.661726542652984,1260,0,1041,0,2,0.0,42,584,178.0707960996951,0
33,Icbbc4232f3d9a28b3d6ead51937c2e60c00e5d8c,1525327664,0,0,1,2,3,0.9556537346562,270,30,2529,1,3,447.98849151234566,7,19,3.0,0
34,I7ee5a9eadd43387cf3cd887d734c625575eee47d,1525358033,1,1,1,1,8,2.5902066101857546,419,188,471,1,9,167.6095992476852,32,52,10.858502700450646,0
35,Ic5e32b36d1b0dfd4c2524ed5b3aa0a3eef3b2e18,1525365002,0,0,1,1,1,0.0,0,3,519,0,1,0.0,9,49,31.040142244787784,0
36,I7e38efb8e23c804046bf4fc065b3f5f3991d0a15,1525757864,0,0,1,1,2,0.4854607607459134,1,56,189,1,3,0.0,10,994,113.8586849476928,0
37,I637203c75c837737f1febced75d5985703e51044,1527244235,0,0,0,0,0,0.0,0,0,0,1,0,0.0,0,185,89.48416413448452,0
38,If9b18248bfeeb6a874b0132d19520adea593bfc4,1527996518,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,182,87.19840226806963,0
